№;N;T max;T min;alpha;steps;Решено;Ср. энергия;Мин. энергия;Ср. число оценок;Ср. время, с
1;30;10.0;0.1;0.95;100;8/10;0.2;0;8325;0.06
2;30;10.0;0.1;0.8;100;2/10;1.0;0;2079;0.01
3;30;10.0;0.1;0.9;100;8/10;0.2;0;3897;0.03
4;30;10.0;0.1;0.98;100;10/10;0.0;0;18883;0.13
5;30;10.0;0.1;0.99;100;10/10;0.0;0;34844;0.24
6;30;10.0;0.1;0.95;10;1/10;2.2;0;898;0.01
7;30;10.0;0.1;0.95;30;6/10;0.6;0;2548;0.02
8;30;10.0;0.1;0.95;300;10/10;0.0;0;20392;0.14
9;30;10.0;0.1;0.95;1000;10/10;0.0;0;67476;0.45
10;30;0.5;0.1;0.95;100;10/10;0.0;0;1589;0.01
11;30;2.0;0.1;0.95;100;9/10;0.1;0;4342;0.03
12;30;30.0;0.1;0.95;100;7/10;0.3;0;10364;0.07
13;30;100.0;0.1;0.95;100;7/10;0.3;0;12455;0.08
14;30;10.0;0.01;0.95;100;10/10;0.0;0;8352;0.05
15;30;10.0;0.5;0.95;100;0/10;2.3;1;5900;0.04
16;30;10.0;1.0;0.95;100;0/10;4.6;4;4500;0.03
17;21;10.0;0.1;0.95;100;10/10;0.0;0;6815;0.03
18;40;10.0;0.1;0.95;100;6/10;0.4;0;8569;0.07
19;60;10.0;0.1;0.95;100;1/10;1.2;0;8977;0.11
20;30;30.0;0.5;0.98;100;0/10;1.6;1;20300;0.13
21;30;10.0;0.1;0.8;1000;10/10;0.0;0;16182;0.11
22;30;10.0;0.1;0.99;10;5/10;0.6;0;4265;0.03
